,arch_lr,batch_size,competitor,conv_value,dataset,epochs,model,model_lr,nn,optimizer,seed,train_val_split,version,warmstart_epoch,res_train_1,res_train_5,res_val_1,res_arch_val_1,res_val_5,res_arch_val_5,comp_value,arch_path,time_avg,arch
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,42,0.67,v3,0,30.176126861572264,80.07095489501953,29.36342582702637,30.17361068725586,79.45601959228516,80.08680419921875,30.17361068725586,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,121.76702347517013,Max0() Max0() Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,42,0.67,v3,1,30.81949462890625,80.92366027832031,30.10995407104492,30.81018486022949,80.27777862548828,80.73495330810547,30.81018486022949,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,110.25046394109727,Pow3() Pow2() Pow2() Add() LeakyReLU(negative_slope=0.01) Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,42,0.67,v4,0,29.509611129760742,79.5033203125,28.275463104248047,28.906250381469725,79.06828460693359,79.2187515258789,28.906250381469725,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,116.05441775321961,Max0() Exp() Pow2() Mul() Pow3() BetaMix()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,drnas,42,0.67,v4,1,30.626509857177734,80.6710433959961,29.947916793823243,30.75231475830078,80.38773193359376,80.6134246826172,30.75231475830078,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,114.07194538235665,Pow3() Pow2() Pow2() Add() Max0() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,0,0.67,v3,0,31.20068473815918,80.88919067382812,30.12731475830078,30.96643524169922,80.64814758300781,80.67129669189453,30.96643524169922,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,108.44051563501358,ELU(alpha=1.0) ELU(alpha=1.0) Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,0,0.67,v3,1,32.36236839294433,81.71673583984375,31.608796310424804,32.22222213745117,81.13426055908204,81.04166717529297,32.22222213745117,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,103.84373948454856,LeakyReLU(negative_slope=0.01) Exp() LeakyReLU(negative_slope=0.01) Add() Pow2() Mul()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,0,0.67,v4,0,31.383102416992188,81.30384368896485,30.335648345947266,30.98379592895508,80.99537048339843,80.9375,30.98379592895508,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,97.56047196269036,Max0() BetaAdd() Pow2() Add() Pow2() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,0,0.67,v4,1,32.501258087158206,81.7673110961914,31.56828727722168,31.95601806640625,81.60879669189453,80.87963104248047,31.95601806640625,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,94.77957147836685,Sqrt() Sqrt() Max0() Add() Pow3() Mul()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,42,0.67,v3,0,28.754026031494142,79.26277770996094,27.760416793823243,28.44907417297363,78.7442123413086,79.19560241699219,28.44907417297363,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,111.5427970957756,Pow2() Max0() Pow2() Add() BetaAdd() Add()
0,0.025,128,relu,2,cifar10,200,ViTtiny,0.1,False,darts,42,0.67,v3,1,26.606531143188477,77.33041381835938,26.365740966796874,27.025463104248047,76.84606475830078,77.6446762084961,27.025463104248047,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_ViTtiny/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,114.08699326992036,Pow2() Pow2() Pow3() Add() BetaAdd() Sub()
